"","Angola","Burundi","Kenya","Rwanda","Zambia","Zimbabwe","CAR","Sudan","SouthSudan","Uganda","Bas_Uele","Equateur","Haut_Katanga","Haut_Lomami","Haut_Uele","Ituri","Kasai","Kasai_Central","Kasai_Oriental","Kinshasa","Kongo_Central","Kwango","Kwilu","Lomami","Lualaba","Mai_Ndombe","Maniema","Mongala","Nord_Kivu","Nord_Ubangi","Sankuru","Sud_Kivu","Sud_Ubangi","Tanganyika","Tshopo","Tshuapa"
"Equateur",0,0,0,7.33076531198013e-296,0,0,1.37244463849692e-170,0,0,2.12034577428887e-300,5.33171300581662e-188,0,0,1.99101348965153e-282,5.88114281521581e-297,0,3.69119843755321e-162,6.6021136623571e-214,2.15830877755418e-175,2.27342817210944e-176,2.16579277696898e-216,1.95361850140586e-161,5.19310168977771e-143,2.23497344566032e-239,0,3.59284437016048e-90,1.9044641063463e-145,4.25126762178469e-70,7.83203580217219e-161,3.01295493024011e-91,1.6029478886015e-101,1.56951789114585e-195,9.56739732395313e-62,6.48712312554428e-292,3.18598124852115e-106,1.31392741390136e-67
"Haut_Katanga",2.99487268811502e-296,3.24108882683732e-189,0,3.00905884993879e-202,8.71050914178799e-83,6.69229803659897e-192,0,0,0,6.23653053039104e-246,0,0,0,9.29288052765517e-78,0,0,5.14068021898516e-218,5.56872205169685e-173,1.04968435896167e-119,0,0,1.64281327007598e-222,1.77334298798227e-265,1.93750594116864e-129,1.2862708277342e-97,0,1.93804795299681e-117,1.26756331169129e-260,1.84347327160541e-142,2.49311422334801e-292,1.08063170296314e-120,3.73635093709469e-126,3.55395996855886e-286,1.70794919909895e-89,1.29122504449891e-164,3.06161297056558e-221
"Haut_Lomami",4.60392531373749e-264,2.60181277897196e-176,0,4.18401679666913e-186,2.62104160092684e-162,6.65770859117875e-264,0,0,0,3.87367269455925e-240,3.2487938161588e-286,1.99101348965153e-282,9.29288052765517e-78,0,0,8.19842176997027e-300,3.1398269100458e-143,1.09447671036043e-95,1.60947204046338e-59,1.65920370805539e-294,0,6.77515886251811e-169,3.71063842264283e-196,7.10020961528394e-57,1.96826221742372e-58,1.35367550531621e-241,1.88102818052476e-86,2.21749696154055e-214,4.93447399863859e-125,3.4225782570083e-248,8.50008637211415e-80,6.97227630278905e-105,1.09954873931664e-240,3.97055369286328e-77,1.03669250461233e-133,2.31637775028669e-169
"Haut_Uele",0,8.87606104022793e-202,5.5335915819234e-239,3.29119732225759e-148,0,0,1.72888951594865e-228,0,1.26604235186361e-110,3.54755479778324e-99,6.39192601987714e-94,5.88114281521581e-297,0,0,0,1.1131882165512e-58,0,0,1.52317055647162e-241,0,0,0,0,1.71678202750052e-288,0,0,4.06961230798114e-122,8.26320692710089e-155,2.23824618937373e-67,1.45934079563976e-161,1.12295181146994e-143,1.29684531465804e-131,1.30763562822051e-191,3.28001914817447e-255,1.82283463220792e-76,3.66966673259211e-176
"Ituri",0,3.03251174761021e-158,4.15402883832207e-217,1.5943102559048e-106,0,0,6.56726835837547e-278,0,2.0862541525197e-148,8.45384853824917e-71,9.67307968345183e-133,0,0,8.19842176997027e-300,1.1131882165512e-58,0,0,0,2.82978794488398e-231,0,0,0,0,1.62733451637759e-270,0,0,1.16695792954817e-107,1.3624711259401e-178,2.91960410639704e-45,4.10362188202648e-193,2.18346904355447e-139,2.5495672951205e-107,2.95838934946505e-220,1.24050381556159e-225,3.97247142104831e-80,2.65340623142669e-187
"Kasai",1.6583156238998e-265,2.36158762206183e-256,0,1.65342839039541e-242,0,0,8.59460730615632e-296,0,0,1.86860916192919e-283,1.40505985849069e-247,3.69119843755321e-162,5.14068021898516e-218,3.1398269100458e-143,0,0,0,3.53148627466344e-56,2.81035393427619e-61,4.66479450158228e-164,3.72882755487448e-202,1.2614001692463e-85,1.26560795296414e-70,2.56580120372356e-105,1.73711432887994e-155,6.27319545982059e-103,1.1391311301875e-99,4.40125662215966e-149,5.51414810692731e-142,8.46257397090175e-185,2.90633283306111e-50,1.55689616466874e-143,1.09623741992474e-167,2.76796323906846e-183,2.82763349997373e-113,9.98831632495065e-96
"Kasai_Central",2.72155032573587e-256,3.15821540250365e-230,0,2.57073836687604e-225,1.37394326402472e-274,0,0,0,0,7.2976752602446e-276,6.87228979061582e-269,6.6021136623571e-214,5.56872205169685e-173,1.09447671036043e-95,0,0,3.53148627466344e-56,0,1.90328027448167e-25,4.388366107961e-215,5.50188365248354e-246,5.0268300696413e-111,9.08105725427846e-117,1.31066597381023e-62,4.86810619245156e-109,2.32950735685182e-159,3.01098655294792e-90,4.03301089774925e-178,2.41088612239718e-137,3.38238771903176e-215,7.16593249597375e-52,2.03590912237776e-128,1.32401679268912e-201,6.26063048887143e-146,1.96412871003508e-121,3.37713573684943e-124
"Kasai_Oriental",2.1841098658695e-215,1.05965414183759e-155,2.99884310062183e-295,3.67748558215566e-155,8.86657175951245e-200,1.15003362956833e-271,6.06496602829216e-260,0,3.34236137214044e-288,7.01983847253098e-198,4.91958190674493e-201,2.15830877755418e-175,1.04968435896167e-119,1.60947204046338e-59,1.52317055647162e-241,2.82978794488398e-231,2.81035393427619e-61,1.90328027448167e-25,0,5.65110309741993e-189,2.58758929507784e-212,2.82240440940115e-104,1.51827411687971e-110,2.72973215883283e-27,7.60438196675975e-81,4.24094205398639e-140,2.9898425365396e-59,4.63767601262613e-139,1.9847492829036e-96,1.11597642954983e-167,6.90366716221716e-37,1.72151092173226e-85,4.55322124128163e-160,3.95901465636413e-93,5.80655355778839e-89,1.64280172990285e-98
"Kinshasa",8.03947857554691e-288,0,0,0,0,0,0,0,0,0,0,2.27342817210944e-176,0,1.65920370805539e-294,0,0,4.66479450158228e-164,4.388366107961e-215,5.65110309741993e-189,0,2.72155124408729e-61,1.58176034261185e-74,4.16802805732985e-87,2.81701898398176e-269,6.38499062581729e-290,2.08931021977818e-104,2.11985586372895e-203,1.84877182458263e-199,7.75243618278341e-237,2.72718080707766e-225,4.25324370725082e-142,2.81380971553525e-264,9.35108898510547e-186,0,7.39261228170043e-191,3.85043814895998e-167
"Kongo_Central",8.57170792666533e-263,0,0,0,0,0,0,0,0,0,0,2.16579277696898e-216,0,0,0,0,3.72882755487448e-202,5.50188365248354e-246,2.58758929507784e-212,2.72155124408729e-61,0,2.14459156915841e-93,5.18701886971849e-129,4.38826877798225e-297,1.67731875558035e-302,1.60097917588767e-154,4.43329848419228e-224,8.33400895610963e-227,7.9430185585783e-255,4.98901872140906e-249,2.97121639754146e-164,4.74366740576951e-285,2.61963096191442e-208,0,2.97884618733302e-212,2.12664266578325e-199
