province,health_zone,case_total,death_total,cfr,case_recent,death_recent,last_reported
Lomami,Kanda Kanda,7,0,0,5,0,2025-01-12
Maniema,Kasongo,18,0,0,5,0,2025-02-09
Mongala,Yambuku,33,0,0,5,0,2025-02-02
Sud-Kivu,Hauts Plateaux Uvira,8,0,0,5,0,2025-01-12
Tshuapa,Wema,45,4,0.08888888888888889,5,1,2025-01-19
Equateur,Lukolela,220,2,0.00909090909090909,4,0,2025-02-02
Ituri,Adi,4,0,0,4,0,2025-01-19
Ituri,Ariwara,17,0,0,4,0,2025-01-26
Kinshasa,Bandalungwa,22,0,0,4,0,2025-02-09
Lomami,Mwene Ditu,15,0,0,4,0,2025-02-09
Maindombe,Banjow Moke,28,2,0.07142857142857142,4,1,2025-01-26
Maniema,Kailo,36,0,0,4,0,2025-02-02
Maniema,Lubutu,21,1,0.047619047619047616,4,0,2025-01-19
Maniema,Punia,19,0,0,4,0,2025-02-02
Nord Ubangi,Wasolo,17,0,0,4,0,2025-02-09
Sud-Kivu,Kalole,57,1,0.017543859649122806,4,0,2025-02-09
Tanganyika,Mbulula,5,0,0,4,0,2025-02-09
Equateur,Bikoro,1079,11,0.010194624652455977,3,0,2025-02-09
Haut Katanga,Kipushi,26,0,0,3,0,2025-01-26
Kasai,Mikope,44,0,0,3,0,2025-01-19
Kinshasa,Maluku I,28,0,0,3,0,2025-02-09
Kinshasa,Matete,9,0,0,3,0,2025-02-09
