"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Zambia","ZMB","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Zambia","ZMB","Voice and Accountability: Standard Error","VA.STD.ERR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.208809837698936","","0.214446097612381","","0.197282910346985","","0.159145548939705","0.15690603852272","0.144486427307129","0.138009682297707","0.115909710526466","0.117468319833279","0.113795779645443","0.112266846001148","0.110313147306442","0.112041942775249","0.108856894075871","0.103858023881912","0.120048999786377","0.121568933129311","0.121997065842152","0.122460603713989","0.126677602529526","0.120510615408421","0.120357550680637","0.121234245598316","0.120763391256332","0.118481732904911",
"Zambia","ZMB","Voice and Accountability: Number of Sources","VA.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","6","","7","","10","11","13","14","16","16","16","17","17","17","18","19","15","15","14","14","14","13","13","12","12","12",
"Zambia","ZMB","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.729230744967091","1.43407400279918","0.521350955025196","1.59556479854664","4.08749617202127","1.26239347130831","1.63736199657177","4.2533845527155","22.5255637247844","4.48475826872894","2.14275391250791","2.1996059285433","1.3612623275557","0.953120510576897","0.716710301849432","1.16356588883727",
"Zambia","ZMB","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","26.4918044577","22.8234867854","20.7794894618","16.8809379708","13.404458138","15.9103842383","10.4919243037","17.7106929255","23.91428162","27.2798149448","26.5561359928","21.9879886723","15.3320701823","16.7658718017","18.8107823542","15.6215536549","15.6954201467","13.8482884335","15.6248376865","16.0887183232","13.507307083","14.9460233225","14.4758509416","14.8405819201","23.8496005158","27.3936182753","57.0704984622","69.8924512537","77.1766870807","65.2697555515","108.9874009071","136.2435185648","141.748797745","160.4523705903","146.7370471962","100","96.4561279573","121.0924415969","136.7484870789","106.6697747584","118.3855039398","168.6383604515","","",
"Zambia","ZMB","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","","","","","12.9691912708601","10.9815720195562","8.34540712836859","7.64335956807726","3.45734192191403","2.06499049465091","2.2188942693384","4.00060655402232","3.69439130222679","2.07891133474837","3.1791023978524","3.04105385738668","2.84943985575076","3.03460573976038","2.91390516677245","2.96678549413229","3.65868398544348","4.30337908716574","5.58082222938662","5.58082222985057","5.1785417970135","7.6152458998059","6.2375836328325","5.74547235538086","6.23473170028147","8.38078725869824","7.77025873926904","12.1856906475224","9.29200844221116","5.16315801257488","12.1253493736941","12.0375158900633","21.4464809316913","13.6211910962759","22.7203965527338","35.641059412028","41.7351384458513","30.9942589143239","35.6895106443367","45.1286815380989","49.1026198217125","24.2530107499005","19.9370825517817","24.0714355772921","20.3294129095063","22.5367950506524","19.040929587533","21.7829206622304","28.355222259451","30.3509293042375","21.7295664844263","23.9963590769143","21.8212261374059","19.2074735908951","20.0023681406634","22.8888226754563","21.059640084569","","","",
"Zambia","ZMB","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","","","","","0.0144885540423066","","","","","","0.00382360270394635","","","","","","0.00418222701128217","0.00036346084509008","","","","","","","","","","","","0.000143663012234053","","0.0582606482408189","0.000440919049088825","9.70140940641636E-06","0.00799531793832777","0.0028831426249291","0.0419024842068632","0.167263294808399","0.0257742268956173","0.0234985236906493","0.27034898862564","0.0271818526603185","0.0165884400555106","0.00375055040036935","0.0669936613075387","0.014345119307738","0.0179315942524179","0.0100060001909596","0.0991946890559764","0.0112099515496545","0.00739583652975227","0.0111854206957081","0.0112270634175834","0.0120160736778232","0.0013324888797236","0.00413094622903531","0.00878856589038415","0.00969606133667429","0.0239926795893835","","","",
"Zambia","ZMB","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","362000000","335000000","335000000","361000000","470000000","527000000","691000000","654000000","759000000","1073000000","1001000000","1226000000","758000000","1144000000","1407000000","810000000","1070000000","896000000","856000000","1373000000","1298000000","1079000000","1024000000","836000000","652000000","784000000","517000000","873000000","1179000000","1347000000","1309000000","1083000000","756000000","826000000","927000000","1040000000","1037000000","915000000","1032000000","1063000000","892000000","987000000","956000000","980000000","1576000000","1810000000","3770000000","4617000000","5099000000","4312000000","7200000000","9001000000","9365000000","10607000000","9694000000","6607000000","6372000000","8000000000","9034000000","7039000000","7924000000","11013000000","11643000000","10431000000",
"Zambia","ZMB","Insurance and financial services (% of commercial service exports)","TX.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","","","","6.03700097370983","4.60652591170825","4.84126984126984","3.19314641744548","2.99277605779154","3.6848792884371","3.68","4.71204188481675","5.48302872062663","6.20347394540943","6.90978886756238","5.1413881748072","4.12698412698413","4.51237263464338","","","","","","","","0.375234521575985","4.45514223194748","3.91061452513966","5.41958041958042","4.80225988700565","6.53391412570006","1.65471185489101","1.51169137600608","2.68046304128112","3.0923559929695","1.13271099316608","1.27816088774691","1.14645164514247","34.0695458924541","9.91026798578492","9.33873701453104","9.75635175592022","10.0454562113652","9.86447933344938","8.97913051765412","8.92510819820707","9.20469606444881","2.41510998317086","0.755511179353627","1.07375540149546",
"Zambia","ZMB","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","","","","","0.359046693044026","0.243751160464718","","","0.143650018096518","0.486643655277171","0.248906651750653","0.106225254842102","0.045044748736447","0.0608931260532252","0.0456485947890993","0.0323343722655132","0.0154661024949545","0.0520100022566528","","","","","","","","","","","","","","0.94633774604545","","0.560571922972069","1.88630388461561","3.94513971784925","6.35650497333532","10.0264071436279","4.473679029302","4.30002754550954","4.79358840710487","5.02175177160825","9.68987539999555","4.63259957624206","2.69841033255298","1.7275989859386","1.6639059685191","2.22688895336752","1.47821394850183","2.20667745639806","2.141260737194","2.15742268016014","1.80216520319116","1.46089785875392","1.50428222164457","0.800514572012433","0.941299031245252","1.33060430559732","0.861156727384181","0.666806794266321","0.432861316707101","0.575244361988637",
